gene,gene_id,logFC,logCPM,F,PValue,FDR
TSPAN6,ENSG00000000003,0.110018720088859,5.30380501709133,1.22383628455373,0.278552462650378,0.505553713931716
DPM1,ENSG00000000419,0.0742692826881315,4.84855632383877,0.550825600399499,0.464509389687034,0.676379805305233
SCYL3,ENSG00000000457,-0.0378011662247213,3.78771717710139,0.404440015985718,0.530260439713631,0.72770080528691
C1orf112,ENSG00000000460,-0.0798734394535743,2.66255528530423,0.321560512677389,0.575444435461572,0.758881201334351
CFH,ENSG00000000971,0.02178343138799,7.96368297023933,0.0265324395815546,0.871842730531302,0.935606868932414
FUCA2,ENSG00000001036,0.229473307407876,6.55660995929887,5.1935675308123,0.030957411265593,0.138119661629384
GCLC,ENSG00000001084,-0.188468489523076,3.04817480716201,1.57845157755593,0.219948369529228,0.44306285027336
NFYA,ENSG00000001167,0.0880366029284176,5.56586048886485,1.32903948332094,0.259270875499737,0.485506888459073
STPG1,ENSG00000001460,0.247212136661465,2.48851657823563,1.53728173320092,0.225891749203063,0.450249540290667
NIPAL3,ENSG00000001461,0.234352690613812,6.65225453474493,1.44440208001778,0.240432990896443,0.466235464814611
LAS1L,ENSG00000001497,0.0459292787581479,5.21948280558894,0.665271084587395,0.421977145750696,0.640705510864437
ENPP4,ENSG00000001561,-0.0695120673468014,5.25449651538954,0.021434783386005,0.884773776033377,0.942283513498798
ANKIB1,ENSG00000001629,0.136070299157787,6.80442864890814,5.81842726731599,0.0230686305106419,0.116028771020959
CYP51A1,ENSG00000001630,0.130056403431952,2.95339989896712,0.817500969512777,0.374059531803048,0.598870300831012
KRIT1,ENSG00000001631,-0.0634626646936042,5.38561774182928,1.33831881162355,0.257654321630873,0.483997217785261
RAD52,ENSG00000002016,-0.305801175707095,4.00995055643012,16.8688883906824,0.000343009754319475,0.00968430873028651
BAD,ENSG00000002330,0.137736952829736,4.6248773333797,1.86325964944263,0.183728513510239,0.398268179946158
LAP3,ENSG00000002549,0.0888790253233848,5.14831802999423,1.91819951961752,0.177606722532638,0.391376829483464
CD99,ENSG00000002586,-0.205587619277516,7.62841223297191,11.9619080498909,0.00184978023301262,0.0263905259661986
MAD1L1,ENSG00000002822,0.157764830494923,4.41307386021485,3.66767641985235,0.0663305355199966,0.21705109965907
LASP1,ENSG00000002834,0.549223598082918,9.02510646808971,23.288484017836,5.0867026385183e-05,0.00303186316895092
SNX11,ENSG00000002919,0.108068845109637,4.03372365191397,2.44532486896841,0.129741685565769,0.323861167335182
M6PR,ENSG00000003056,0.0473648490154455,6.6165523197988,0.610518526528588,0.441518719167961,0.657756969081559
KLHL13,ENSG00000003096,-0.969420800057747,0.183305065012076,12.6076573728298,0.00146159141766497,0.0232424809135201
CYP26B1,ENSG00000003137,0.152264190176857,1.42134257412091,0.263235596400512,0.612157375486321,0.783727020183084
DBNDD1,ENSG00000003249,-1.11208974277758,1.76436370803134,4.03283258649172,0.0553918982917662,0.195102170980388
ALS2,ENSG00000003393,0.0721014944824848,6.72278580177999,2.7700329462621,0.107827770889997,0.290616700206451
CASP10,ENSG00000003400,-0.0313982220391633,1.86445630549821,0.0168939511256944,0.897566566187387,0.9496085020155
CFLAR,ENSG00000003402,0.014488625836969,8.05753341554575,0.0266533484812443,0.871553729350158,0.935606868932414
TFPI,ENSG00000003436,0.0114774999886767,9.20680689222295,0.00474000685844052,0.945630543012976,0.97321486786531
NDUFAF7,ENSG00000003509,-0.213487961605313,4.45304190987591,8.92491230104322,0.0059950781097743,0.0523175775948444
RBM5,ENSG00000003756,-0.332545152902006,6.68322723353404,16.0462952621909,0.000447922920088379,0.0114991998861677
MTMR7,ENSG00000003987,-0.0256451802054047,1.56374097882032,0.0159251868186364,0.900530265516784,0.951370942228163
SLC7A2,ENSG00000003989,0.343383219733199,6.73698682016356,1.71637397331681,0.201933204738845,0.421876030619529
ARF5,ENSG00000004059,0.148274432627506,5.54048744267403,2.52300434607491,0.12405956540438,0.315581673136304
SARM1,ENSG00000004139,-0.479455746912591,3.66915871311294,16.0009051737964,0.000454643865834131,0.0116320886055146
POLDIP2,ENSG00000004142,0.14674343313489,6.38977237892994,8.34861507538936,0.00760213569426617,0.0606249602219155
PLXND1,ENSG00000004399,0.253442075016011,6.55614538165026,6.65741375347523,0.0157530421387081,0.0928844766862662
AK2,ENSG00000004455,0.167100812415112,7.08127771655925,2.87118922812326,0.101902211679614,0.281095696359278
FKBP4,ENSG00000004478,-0.0602202259542247,5.22128129562742,0.400810844944454,0.532097508652274,0.728550416411859
KDM1A,ENSG00000004487,0.0101392936760942,6.52843162925353,0.0300279046810553,0.8637439478736,0.931775797903864
RBM6,ENSG00000004534,-0.121005478546881,6.30023123500692,3.90572723237298,0.0586183980335928,0.201354510043673
CAMKK1,ENSG00000004660,-0.133207643512112,3.18326229963452,0.314555065707626,0.579641888043106,0.761601321043907
RECQL,ENSG00000004700,0.198808072120182,6.1034061852603,5.18080536488158,0.0311469769749447,0.138437725588457
VPS50,ENSG00000004766,-0.0666762597432541,4.81771039558096,0.874713152752027,0.358100021228977,0.585422962376872
ARHGAP33,ENSG00000004777,-0.00603909084099411,1.59804063578933,0.000760670579007332,0.978203611407859,0.989392918005574
NDUFAB1,ENSG00000004779,0.0369065677538188,3.44100555188933,0.146911049816192,0.704562999726571,0.844365953352
PDK4,ENSG00000004799,-2.49972299945375,3.7297638073112,17.9618928120022,0.000266070201806948,0.00834672077520315
ZMYND10,ENSG00000004838,0.0730669131624597,0.119369433806224,0.0769182961695335,0.783670296896088,0.891434879882236
SLC25A13,ENSG00000004864,0.118816636879776,3.57462895259783,0.540984501764425,0.468486241234301,0.680078394387841
ST7,ENSG00000004866,-0.104563746421779,2.76859166060569,0.725195941308198,0.402076122372822,0.623673352997187
CDC27,ENSG00000004897,-0.0786072753813579,7.2325057331619,1.23320047219042,0.276761926401706,0.503781210449345
HCCS,ENSG00000004961,0.0794634205137678,4.20331663627994,0.952650871445328,0.337873031279758,0.567814399789593
