gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000000003,TSPAN6,-0.025398737,1.943446317,0.844544961,0.990327922
ENSG00000000419,DPM1,-0.020004383,4.065910549,0.883757332,0.993002099
ENSG00000000457,SCYL3,-0.019355201,2.948056154,0.861120034,0.991761005
ENSG00000000460,C1orf112,0.06926233,1.586584897,0.611102649,0.955535892
ENSG00000000938,FGR,-0.377552437,0.715262129,0.146084046,0.767437957
ENSG00000000971,CFH,0.402317224,4.463486518,0.268261172,0.857555289
ENSG00000001036,FUCA2,0.117061681,2.270729034,0.457793136,0.925385986
ENSG00000001084,GCLC,-0.021579534,3.591108495,0.881562153,0.992758758
ENSG00000001167,NFYA,-0.107659011,3.20446923,0.429502,0.919130866
ENSG00000001460,STPG1,0.334126436,0.527339439,0.125634364,0.750242091
ENSG00000001461,NIPAL3,0.013299658,3.385168353,0.945600804,1
ENSG00000001497,LAS1L,0.077958851,4.518546642,0.46727507,0.926110662
ENSG00000001561,ENPP4,0.055204329,5.295702483,0.749402661,0.979944297
ENSG00000001617,SEMA3F,-0.076878275,2.960064364,0.604492456,0.955535892
ENSG00000001629,ANKIB1,-0.091695616,4.225771656,0.373235641,0.905857646
ENSG00000001630,CYP51A1,0.281188479,2.671891064,0.164626616,0.787588696
ENSG00000001631,KRIT1,-0.040068655,4.377115766,0.687725368,0.971325148
ENSG00000002016,RAD52,-0.071729412,3.981102994,0.588655523,0.950477282
ENSG00000002079,MYH16,-0.067712387,-2.920803894,0.820020397,0.988237555
ENSG00000002330,BAD,0.127053227,3.691848337,0.391639715,0.909074182
ENSG00000002549,LAP3,-0.041992743,5.240317343,0.622102298,0.956123588
ENSG00000002586,CD99,0.095646504,6.658057024,0.644622605,0.961916519
ENSG00000002587,HS3ST1,-0.025895209,-2.015653812,0.97713848,1
ENSG00000002746,HECW1,-0.241947597,0.407573499,0.452036129,0.923486434
ENSG00000002822,MAD1L1,0.062432244,3.5900568,0.627408478,0.956824027
ENSG00000002834,LASP1,0.019157003,4.652077017,0.915188123,0.997817241
ENSG00000002919,SNX11,0.110888477,2.919639594,0.263034599,0.853880028
ENSG00000002933,TMEM176A,0.666183796,0.809771293,0.023277729,0.568173609
ENSG00000003056,M6PR,0.172276624,5.109277523,0.026923777,0.580657089
ENSG00000003096,KLHL13,0.051720325,1.883178341,0.663837831,0.966948189
ENSG00000003137,CYP26B1,1.269752991,2.263741278,0.007068927,0.419140705
ENSG00000003147,ICA1,-0.37109525,1.672664234,0.011879016,0.480248567
ENSG00000003249,DBNDD1,-0.10071553,5.379206973,0.762085437,0.981470553
ENSG00000003393,ALS2,-0.233933288,4.957378636,0.017358214,0.534076771
ENSG00000003400,CASP10,-0.31442138,2.996990132,0.05781415,0.660066317
ENSG00000003402,CFLAR,-0.079755241,7.697971504,0.558811529,0.945019584
ENSG00000003436,TFPI,0.313124248,3.395843663,0.175464428,0.79631752
ENSG00000003509,NDUFAF7,-0.060874201,3.960870189,0.526614136,0.939219835
ENSG00000003756,RBM5,-0.064983879,6.716298543,0.505338693,0.933335602
ENSG00000003987,MTMR7,0.142862197,0.15855701,0.351683197,0.89869126
ENSG00000003989,SLC7A2,-0.17017464,7.897942876,0.228015088,0.832992724
ENSG00000004059,ARF5,0.090329244,5.61175813,0.307477208,0.877629805
ENSG00000004139,SARM1,-0.079338178,2.01052305,0.502664449,0.933335602
ENSG00000004142,POLDIP2,0.00764864,6.61352588,0.936270625,1
ENSG00000004399,PLXND1,-0.244119137,5.420576558,0.20054491,0.812705982
ENSG00000004455,AK2,0.016728907,6.150532789,0.867895711,0.992180755
ENSG00000004468,CD38,-0.059460663,5.571200631,0.821858044,0.988237555
ENSG00000004478,FKBP4,0.337725684,5.801635242,0.074787999,0.692977306
ENSG00000004487,KDM1A,-0.037521072,5.20008658,0.650799083,0.964089108
ENSG00000004534,RBM6,-0.096716441,6.510482764,0.318608836,0.883691502
ENSG00000004660,CAMKK1,0.704301379,1.650439768,0.026154815,0.580133284
ENSG00000004700,RECQL,0.087522497,4.210706853,0.357662512,0.899481605
ENSG00000004766,VPS50,0.010794474,4.001209084,0.914100641,0.997806414
ENSG00000004776,HSPB6,0.445021674,10.67412401,0.079533272,0.69692582
ENSG00000004777,ARHGAP33,0.232857394,2.610107222,0.115396904,0.741666171
ENSG00000004779,NDUFAB1,0.075353998,6.660699381,0.519564823,0.937896641
ENSG00000004799,PDK4,0.495369787,7.999650376,0.473573402,0.927368321
ENSG00000004838,ZMYND10,-0.099670445,-0.300455272,0.668536161,0.967590915
ENSG00000004848,ARX,0.228824001,4.213240698,0.151615245,0.774317339
ENSG00000004864,SLC25A13,-0.086567675,2.452545128,0.495550813,0.931507955
ENSG00000004866,ST7,0.110691164,2.954904171,0.311934551,0.879650209
ENSG00000004897,CDC27,0.084940778,5.35749236,0.517569766,0.937263107
ENSG00000004948,CALCR,0.177690252,0.068950913,0.397441825,0.909921459
ENSG00000004961,HCCS,0.013669466,5.116472545,0.895440987,0.996337851
ENSG00000004975,DVL2,-0.097204074,3.871689388,0.299392759,0.874169755
ENSG00000005007,UPF1,0.025480306,5.762535163,0.81494546,0.988237555
ENSG00000005020,SKAP2,-0.233745168,3.144672474,0.323468299,0.885700282
ENSG00000005022,SLC25A5,0.23263768,3.856485009,0.088540803,0.712019295
ENSG00000005059,MCUB,0.110610517,0.21785458,0.663064054,0.966948189
ENSG00000005073,HOXA11,-0.338749722,2.185636797,0.028670451,0.589392132
ENSG00000005075,POLR2J,0.028113748,5.227440161,0.791803113,0.98664305
ENSG00000005100,DHX33,0.030913672,3.462229445,0.80652474,0.988237555
ENSG00000005102,MEOX1,-0.263664485,3.045208453,0.395858851,0.909825774
ENSG00000005108,THSD7A,-0.660492146,-0.668610195,0.043313856,0.632836768
ENSG00000005156,LIG3,0.061410852,3.831837244,0.5846024,0.950477282
ENSG00000005175,RPAP3,-0.071445577,4.554987927,0.479405986,0.929420373
ENSG00000005187,ACSM3,-0.200544754,0.734654232,0.362833398,0.899481605
ENSG00000005189,REXO5,0.15207994,-0.234977698,0.427142035,0.917949069
ENSG00000005194,CIAPIN1,0.121171492,4.46068188,0.255629713,0.848981525
ENSG00000005206,SPPL2B,-0.12275599,5.044580361,0.24723466,0.847086811
ENSG00000005238,FAM214B,0.306842413,3.459429214,0.060868827,0.66671052
ENSG00000005243,COPZ2,0.268890744,4.804327094,0.040117635,0.621621169
ENSG00000005249,PRKAR2B,0.106709715,1.34414668,0.668714109,0.967590915
ENSG00000005302,MSL3,-0.049059868,4.738103889,0.630279168,0.956910215
ENSG00000005339,CREBBP,-0.203141736,6.385254672,0.088481319,0.712019295
ENSG00000005379,TSPOAP1,-0.312604665,4.209921164,0.100958838,0.725687243
ENSG00000005381,MPO,-0.050700209,-0.110302947,0.847721807,0.990600006
ENSG00000005436,GCFC2,-0.157961132,5.394508598,0.165627302,0.78842507
ENSG00000005448,WDR54,-0.049736363,-0.355146613,0.825909619,0.988541746
ENSG00000005469,CROT,-0.049199534,3.351962439,0.642045431,0.960999487
ENSG00000005471,ABCB4,0.045977601,4.059604201,0.714365964,0.976672038
ENSG00000005483,KMT2E,-0.217610648,5.297680295,0.084586101,0.702266203
ENSG00000005486,RHBDD2,0.080705314,2.300492342,0.608635074,0.955535892
ENSG00000005513,SOX8,0.557744942,0.522384637,0.034077381,0.605770936
ENSG00000005700,IBTK,-0.172561498,6.253998508,0.08606205,0.706107145
ENSG00000005801,ZNF195,0.035672477,3.395401396,0.743143284,0.979370225
ENSG00000005810,MYCBP2,-0.200755093,5.119690499,0.04428509,0.632836768
ENSG00000005812,FBXL3,-0.074878809,4.833047781,0.461221066,0.925784113
ENSG00000005844,ITGAL,-0.05643599,1.177992421,0.855114204,0.99086131
ENSG00000005882,PDK2,0.131177782,7.606182903,0.387543329,0.906899754
ENSG00000005884,ITGA3,0.241482945,3.350746893,0.249476623,0.84727547
ENSG00000005889,ZFX,-0.044003893,5.236910233,0.814638431,0.988237555
ENSG00000005893,LAMP2,-0.239761389,7.120784717,0.151337299,0.773842142
ENSG00000005955,NA,0.060430308,3.900966345,0.541904567,0.944376066
ENSG00000005961,ITGA2B,-0.384825695,-1.72999461,0.115565062,0.741666171
ENSG00000005981,ASB4,0.268111936,4.903362832,0.244365796,0.845597957
