"gene","nodescore"
"TSPAN6",0.403643611704557
"DPM1",0.356939988140874
"SCYL3",0.341331876208791
"C1orf112",0.331138650452438
"CFH",0.245221835954242
"FUCA2",0.519721985211139
"GCLC",0.420183842959119
"NFYA",0.408934048153187
"STPG1",0.418270407759766
"NIPAL3",0.414028819799093
"LAS1L",0.367177407517294
"ENPP4",0.239397527255352
"ANKIB1",0.530908386576659
"CYP51A1",0.378748228997202
"KRIT1",0.409332680711664
"RAD52",0.651255876922387
"BAD",0.43224971023106
"LAP3",0.43413395628528
"CD99",0.60897614799141
"MAD1L1",0.48744622734946
"LASP1",0.693988737724635
"SNX11",0.453207541381515
"M6PR",0.362334814197022
"KLHL13",0.61468728482715
"CYP26B1",0.322492814155573
"DBNDD1",0.495557468309634
"ALS2",0.463171414267909
"CASP10",0.232362285280098
"CFLAR",0.245221835954242
"TFPI",0.201917003385293
"NDUFAF7",0.575931231860272
"RBM5",0.644424398333403
"MTMR7",0.230549136549428
"SLC7A2",0.425856369278283
"ARF5",0.455645623558058
"SARM1",0.643961969636841
"POLDIP2",0.568221902970169
"PLXND1",0.54439535848862
"AK2",0.466119419172935
"FKBP4",0.341062324819822
"KDM1A",0.248354262732404
"RBM6",0.49319385319266
"CAMKK1",0.3302170795565
"RECQL",0.519570289038463
"VPS50",0.382394333838483
"ARHGAP33",0.162563161644125
"NDUFAB1",0.298521677615977
"PDK4",0.657048773741338
"ZMYND10",0.275191823357759
"SLC25A13",0.355853783560847
"ST7",0.371935638788412
"CDC27",0.404111336178416
"HCCS",0.387128524017008
"DVL2",0.511576323495321
"UPF1",0.413662772389307
"SKAP2",0.785112055108752
"SLC25A5",0.346763916131555
"CCDC109B",0.284265517445935
"HOXA11",0.485991534671179
"POLR2J",0.217208661591417
"DHX33",0.395430437517725
"LIG3",0.262820814461207
"RPAP3",0.369439213479551
"AC004381.6",0.445529842015418
"CIAPIN1",0.360661635820597
"SPPL2B",0.547161118453489
"FAM214B",0.574187960093986
"COPZ2",0.451116095970027
"MSL3",0.247144549203453
"CREBBP",0.467776460432916
"BZRAP1",0.428765965973026
"GCFC2",0.477651167324721
"WDR54",0.463249441548484
"CROT",0.539007934620833
"KMT2E",0.417543639215944
"RHBDD2",0.443182366417765
"SOX8",0.337699795756741
"IBTK",0.377178750156801
"ZNF195",0.422616420454434
"MYCBP2",0.529597022299058
"FBXL3",0.380308605948531
"PDK2",0.464580123529052
"ITGA3",0.552645473358959
"ZFX",0.239397527255352
"LAMP2",0.283919234636008
"GDE1",0.248353929826598
"C19orf60",0.358784351485502
"CRLF1",0.474557646054723
"OSBPL7",0.311527187731665
"TMEM98",0.508718000897872
"MAP3K14",0.458690250919108
"TMEM132A",0.258321793878701
"AP2B1",0.378816127040318
"ZNF263",0.229625863066773
"SPATA20",0.406008160309261
"TNFRSF12A",0.689120552509949
"MAP3K9",0.38330151821811
"RALA",0.416578948762654
"BAIAP2L1",0.378841392157408
"KDM7A",0.554712709446881
"ETV1",0.397410477764869
"AGK",0.425584555879169
"ALDH3B1",0.341518844878512
"PHTF2",0.407715597897214
"FARP2",0.352711251691889
"GGCT",0.441713147029461
"DBF4",0.291022218425519
"IFRD1",0.5903882803443
"COX10",0.350206516800098
"GTF2IRD1",0.672617331488292
"PAF1",0.41729619978656
"VPS41",0.547360046612916
"ARHGAP44",0.526523846435498
"ELAC2",0.529245225938145
"SCIN",0.461325640866359
"ARSD",0.588846487200665
"PNPLA4",0.468393846737459
"MYH13",0.511846898161859
"ADIPOR2",0.494392698470124
"CDKL3",0.330827855231708
"MARK4",0.526746038863834
"CCDC124",0.363093587975482
"PAFAH1B1",0.464197687202632
"KIAA0100",0.461400030787426
"TRAPPC6A",0.513153352638752
"ST7L",0.389943462428988
"PAX6",0.504821455891101
"RPUSD1",0.338309305371657
"RHBDF1",0.597861132747903
"LUC7L",0.536639874657228
"CACNA2D2",0.179340893815511
"BAIAP3",0.408502993469935
"TSR3",0.439892646672168
"PIGQ",0.389541870724015
"CRAMP1L",0.484493690030162
"TEAD3",0.425256268997728
"DNAJC11",0.305272279637815
"MYLIP",0.630406740755602
"E2F2",0.279916362048006
"PSMB1",0.379721949868576
"JARID2",0.553171069706664
"CDKL5",0.436040067222817
"CDK11A",0.346434496564763
"NADK",0.450296014561739
"DLEC1",0.503069361628256
"CYTH3",0.536861802709886
"ADAM22",0.521844430752758
"SYPL1",0.423482394569323
"CYB561",0.394845977440153
"SPAG9",0.43303797361459
"CELSR3",0.381772629485568
"AASS",0.476851367759261
"PLEKHG6",0.452012771763816
"SS18L2",0.333560640356029
"MPND",0.474103126264604
"MGST1",0.503570935402186
"CRY1",0.323866093042604
"NFIX",0.628005082786963
"ST3GAL1",0.525843031807251
"IL32",0.372324006039503
"PKD1",0.459107723217829
"MED24",0.337714842950043
"RHOBTB2",0.472678562874505
"HEATR5B",0.404275850739726
"SEC62",0.367351070909298
"RPS20",0.384753912447309
"CSDE1",0.446197108731624
"UBE3C",0.212462264899958
"REV3L",0.671533406427873
"MASP2",0.510597238697568
"FAM76A",0.51743942197821
"POMT2",0.296407751960772
"VTA1",0.417447801666901
"BAZ1B",0.420827486474642
"RANBP9",0.502327541786142
"SPRTN",0.326940662489702
"METTL13",0.59178372540753
"DYRK4",0.212192743771776
"ZNF207",0.438867627385614
"UQCRC1",0.321875032690845
"STARD3NL",0.711680654108509
"CD9",0.413431516292302
"NCAPD2",0.436737721042716
"IFFO1",0.451934637594359
"PHF7",0.712478970118627
"NISCH",0.372043520485224
"FUZ",0.425516235645728
"IDS",0.451116095970027
"ZNF200",0.550583633295842
"CD4",0.703849108752491
"LRRC23",0.381945683900438
"HFE",0.316668803018457
"SCMH1",0.386678053298748
"FYN",0.627502601300764
"HIVEP2",0.449176545388748
"TCEB3",0.494195778804166
"LYPLA2",0.539225994273299
"CLCN6",0.501021095307254
"MRC2",0.294547703185722
"TSPAN9",0.476914898160386
"BTBD7",0.37780864305329
"APBA3",0.604055623906376
"MKS1",0.457965300305595
"ABHD5",0.233998708594906
"AKAP8L",0.415280071895543
"MBTD1",0.656086303641873
"UTP18",0.491397178159055
"RNF216",0.380286556667994
"TTC19",0.391891540394369
"PTBP1",0.525249180238797
"DPF1",0.481898150865501
"SYT7",0.547934756000233
"LARS2",0.690164953583135
"PIK3C2A",0.573473036887324
"PLAUR",0.453974067377168
"ANLN",0.424615230626956
"WIZ",0.252488289194656
"RABGAP1",0.567476661138596
"DCN",0.505084063610778
"QPCTL",0.237380545545987
"PPP5C",0.310945828115786
"CEP68",0.645558736042733
"MAP4K3",0.489124137110057
"ZBTB32",0.314267097837532
"TMEM159",0.498242567386521
"BRCA1",0.110559049887518
"ERCC1",0.57722721724075
"SEMA3B",0.294547703185722
"MBTPS2",0.413652346527144
"PRICKLE3",0.496691832251729
"EXTL3",0.56892076044479
"ELOVL5",0.41820118521618
"KDM5D",0.42439692651772
"CALCOCO1",0.375107056039523
"UBR7",0.363261433582794
"MAP4K5",0.466166046065532
"EHD3",0.554954683146415
"PSMC4",0.489787892554024
"MAN2B2",0.547787800779596
"CLDN11",0.246424504931022
"SLC25A39",0.51147364499673
"MVP",0.403017538215084
"NUB1",0.430456300957805
"PGM3",0.508376159563442
"RWDD2A",0.390834995920219
"CLK1",0.571175078448881
"POLR3B",0.319702061724413
"ANGEL1",0.561813083967345
"RNF14",0.256173991399028
"DNASE1L1",0.473298499405594
"DDX11",0.300025054293946
"HEBP1",0.438899223116125
"GPRC5A",0.470200549526657
"MAMLD1",0.469306509396542
"TACC3",0.284564636483312
"UFL1",0.298785026915746
"POLA2",0.364417657251414
"ZC3H3",0.415433315464163
"CAPN1",0.51073362584275
"MDH1",0.333560640356029
"SLC30A9",0.499441782102294
"MTMR11",0.412310279170536
"COX15",0.313655540462707
"CCDC88C",0.534616446490469
"YAF2",0.422616420454434
"ZMYND11",0.233998708594906
"BID",0.262657636317313
"XYLT2",0.581691963403075
"NUDCD3",0.626783736715388
"GLT8D1",0.333295166840112
"ATP2C1",0.333050789102983
"SLC38A5",0.190194206696696
"RALBP1",0.205160228743208
"RUFY3",0.280220565120199
"SLC11A1",0.185033910730612
"WWTR1",0.376007207611905
"AGPS",0.459753573435461
"CXorf56",0.410220115193939
"ATP1A2",0.592031409853577
"TTC27",0.49537473250063
"ZNF582",0.503566175198425
