gene,logFC,FDR
XRCC6P2,0.0234185774537271,0.902619494625539
GLS,0.0486011302229271,0.772734555989972
GNRH1,-0.183056653043728,0.607211829174445
RP11_75C10.6,-0.428237467062041,0.431507540011138
KCNS3,-0.877582838807461,0.00886818682050455
RP11_1082L8.4,0.0411467220295486,0.921445473808495
MIR199A2,-0.200914375107337,0.587489186273281
RACGAP1,-0.186489424924639,0.617441985723548
AURKAIP1,0.126951522210582,0.145102185153096
AKAP12,0.548534909124315,0.012403272970563
MBD1,-0.0215772452988814,0.833775874203838
GNA11,0.0401429130576623,0.792363856482396
GPATCH2,-0.0665398612007819,0.48650036076941
C1orf198,-0.183038425516833,0.71788361767082
SFRP1,-2.26932702135724,0.0348643516601911
CTD_2630F21.1,0.061759189156813,0.903749525404892
RP11_767N6.7,-0.208256228916324,0.122743327313343
AP001432.14,-0.549732931470085,0.0946090866520818
FAM122B,-0.0870760392055413,0.689263038460675
VAMP5,0.0495157718145393,0.742834861376355
LINC00856,-0.236851266888029,0.477386352567273
XXbac_BPG299F13.17,-0.496472244818093,0.085497550915055
JADE2,0.0995816682164412,0.719161264112005
TNKS2,0.016972094212409,0.882398294541556
AC093838.4,-0.238341028200414,0.232311432314229
SHROOM2,0.0844189063503381,0.756734877569774
CTB_33O18.1,-0.153413273835364,0.725891232750554
EFCAB11,0.169933166378435,0.485815633903943
SYVN1,-0.0566707697786877,0.795318976305159
NEK2,-0.270375664820768,0.625138702074449
SLC5A9,-0.0276683393345769,0.966941055131751
VDAC1,0.11745103321176,0.258270881544274
AJUBA,0.166972079855277,0.579475272958475
FAM162A,0.212337393174331,0.179495892587069
CD47,0.0988971210365475,0.335133353007494
SLC10A7,0.120310079265376,0.453021694750536
RBM38,-0.15479429394765,0.421591779838294
SLC25A30,-0.0285868984521121,0.886980811935135
RP11_320M2.1,-0.133627153926189,0.577153922613322
RCOR3,-0.29082309490017,0.0135120615220069
TLE1,0.612989232043617,0.000110100502967321
AC079922.3,0.20270356571492,0.360315975784179
BLOC1S3,-0.0820036530516801,0.63310665262083
UBE2T,-0.342167021888023,0.0479391996601812
HOXA11_AS,-0.437334231779345,0.413460687374613
TUBGCP3,-0.255187895165201,0.0226298212515755
C4orf22,0.493173639688895,0.138437725588457
TAF3,-0.115581111545293,0.319646085752413
PKD1P6,-0.255747447523539,0.106694679405606
JDP2,0.414646351325931,0.0134645642395143
E2F4,0.131408148382707,0.242681837300935
NOSIP,-0.122973559213585,0.505635225939699
AC006128.2,-0.375194413241314,0.383654701389689
KPNA2,-0.0700992190613033,0.74696392119926
GPRIN3,0.0101672368074344,0.990415273704723
DNM2,0.0526281250285987,0.56115015437368
PDCD1LG2,0.707831267205709,0.0255668555146621
NXF1,-0.15963499651782,0.246218813257957
ATP6AP1L,-0.538877805350319,0.00142285259066162
ST3GAL2,0.128510965941447,0.157328685646032
GNAZ,-0.743867660228055,0.199952827621403
MOCS1,-0.120186196537845,0.273835425691869
GALNT5,0.209926985306232,0.603805450920443
RNASEH1P2,0.0974594268070347,0.736226148272266
ASNS,0.570439099655717,0.0476573950475101
SHOC2,0.13494610504449,0.159365246411866
CEP83,-0.190840851722264,0.280458690252804
RPL19,0.118267678326987,0.0752483042266968
RP11_507K2.2,-0.115176805466398,0.836462444812727
MAPK7,0.438693782894756,0.0299881250795953
AC005253.2,0.0559938406096035,0.910919449119666
LINC00152,0.270914610398527,0.21571128536459
PSMA3_AS1,-0.105505451014226,0.379165375004057
PLSCR4,-0.360829651057916,0.19735084850518
CEP68,-0.53890399061959,0.0111787949356283
HOXB2,0.271631433421626,0.202068334153609
GNB2L1,0.0523492603098371,0.581580070798862
SNORD104,-0.00338550867188292,0.991504634505533
PROCA1,-0.629488962247616,0.0549811265819968
