gene_id,gene,gene_biotype,logFC,logCPM,PValue,FDR
ENSG00000000003,TSPAN6,protein_coding,0.101377067720086,5.38986411437577,0.474115674489995,0.718421458261196
ENSG00000000419,DPM1,protein_coding,-0.048645524396514,5.09252165158588,0.418700205823652,0.676942595766332
ENSG00000000457,SCYL3,protein_coding,0.0922770185969706,3.74423373935749,0.181568436426072,0.427860475890212
ENSG00000000460,C1orf112,protein_coding,0.117522730348241,1.59311558188905,0.348784726499497,0.614033558542031
ENSG00000000971,CFH,protein_coding,0.291533763131712,6.78478455934596,0.00812303621700195,0.0575114965659411
ENSG00000001036,FUCA2,protein_coding,-0.0126495618208952,5.46661396277566,0.832174002590459,0.936847586336661
ENSG00000001084,GCLC,protein_coding,0.0172506844437012,4.01170859961313,0.887339081933427,0.962087496378051
ENSG00000001167,NFYA,protein_coding,0.26792415316568,5.75919308904394,0.000392436660961203,0.006186796244605
ENSG00000001460,STPG1,protein_coding,-0.1756394896864,0.831182021877293,0.180699634021901,0.426337426535668
ENSG00000001461,NIPAL3,protein_coding,0.137690146927163,4.61405036164911,0.381913665623991,0.645328205252961
ENSG00000001497,LAS1L,protein_coding,0.111746834766018,5.13942459732746,0.132338452165854,0.356763664139352
ENSG00000001561,ENPP4,protein_coding,-0.263547365312862,5.44820888594569,0.497425075519181,0.736047016128639
ENSG00000001617,SEMA3F,protein_coding,-0.267387104690204,1.72889154789551,0.478782267260022,0.721877590998654
ENSG00000001629,ANKIB1,protein_coding,0.180309813203676,6.45781976835082,0.0623856599723605,0.22590079310168
ENSG00000001630,CYP51A1,protein_coding,0.0510804283586122,2.22235948966473,0.761109512933114,0.902871983599795
ENSG00000001631,KRIT1,protein_coding,-0.056894103484274,5.34710470537822,0.30506227790134,0.572094530152593
ENSG00000002016,RAD52,protein_coding,-0.221132475346281,4.61627846171384,0.0195308616925094,0.105529063787816
ENSG00000002330,BAD,protein_coding,-0.126814797465367,4.05349692243343,0.146035888225539,0.378350753226058
ENSG00000002549,LAP3,protein_coding,-0.157860863594313,5.07308074912873,0.103945453715043,0.310394291887235
ENSG00000002586,CD99,protein_coding,-0.127384152892221,7.19799314103992,0.153605470239272,0.389532457173294
ENSG00000002822,MAD1L1,protein_coding,-0.0933627760205272,4.63907572918752,0.251712592734874,0.514614401007394
ENSG00000002834,LASP1,protein_coding,0.194499650814953,7.70919287492511,0.0413468942833698,0.174099093189765
ENSG00000002919,SNX11,protein_coding,0.0802100957036021,4.25246558806205,0.30894486239509,0.576164796899666
ENSG00000003056,M6PR,protein_coding,-0.193434436206761,6.70408053429494,0.0101250954789185,0.06776092259274
ENSG00000003096,KLHL13,protein_coding,-1.98632544557552,0.661213849048555,4.24670775717889e-09,5.42540508800476e-07
ENSG00000003137,CYP26B1,protein_coding,0.267716870045752,0.592313931791001,0.334196426672585,0.600476402202858
ENSG00000003249,DBNDD1,protein_coding,0.126671612380019,4.79391936735612,0.374280560112362,0.637844975530246
ENSG00000003393,ALS2,protein_coding,0.0165992144108495,6.80763499103964,0.808025082071675,0.925728937146325
ENSG00000003402,CFLAR,protein_coding,0.0480842962364509,7.64577359376552,0.448645305405271,0.700569088485714
ENSG00000003436,TFPI,protein_coding,0.181631825674137,7.30536038817458,0.0716270827555571,0.247218790531338
ENSG00000003509,NDUFAF7,protein_coding,-0.0282473366815506,4.52178594714573,0.714670161366765,0.87741431328962
ENSG00000003756,RBM5,protein_coding,0.161574313132227,7.10221359100607,0.130055876655838,0.352962030634656
ENSG00000003987,MTMR7,protein_coding,0.262486577440585,1.9677383785311,0.173073851100933,0.416466698983328
ENSG00000003989,SLC7A2,protein_coding,0.349056345312692,4.34941814586203,0.103571907290602,0.310014697160884
ENSG00000004059,ARF5,protein_coding,-0.113060035239038,5.07017970597985,0.360402964886603,0.62471054627128
ENSG00000004139,SARM1,protein_coding,-0.211410813473032,3.42503065990129,0.124387548306635,0.344496311008685
ENSG00000004142,POLDIP2,protein_coding,-0.133475537900134,6.56571262851314,0.0233193025243868,0.120045495727591
ENSG00000004399,PLXND1,protein_coding,-0.0350792908501132,6.25321378183036,0.801405033353658,0.923458682283655
ENSG00000004455,AK2,protein_coding,-0.0334300579832127,7.71317911903572,0.617490495132942,0.818841962906186
ENSG00000004478,FKBP4,protein_coding,-0.262578225173901,5.98386249801564,0.0109520384415816,0.0714864614300338
ENSG00000004487,KDM1A,protein_coding,-0.0930825306889041,6.33511631341612,0.17299682874772,0.416423769073542
ENSG00000004534,RBM6,protein_coding,-0.0985081314444825,6.52499395382122,0.317099100253144,0.583983788795085
ENSG00000004660,CAMKK1,protein_coding,-0.210814303201513,2.06370602191389,0.419965630389694,0.677721865851097
ENSG00000004700,RECQL,protein_coding,0.115476897688943,5.60676246894874,0.419794153690807,0.677721865851097
ENSG00000004766,VPS50,protein_coding,-0.0192290223657607,4.94305276952256,0.745387227090615,0.89459970298973
ENSG00000004776,HSPB6,protein_coding,-2.11239766979003,0.887628759597752,1.11173858530739e-09,1.77538475748117e-07
ENSG00000004777,ARHGAP33,protein_coding,-0.0745895979698921,0.0460744026010071,1,1
ENSG00000004779,NDUFAB1,protein_coding,-0.275736094396853,4.22360127621754,0.000335888245281816,0.00547548635763278
ENSG00000004799,PDK4,protein_coding,-0.397520404236822,3.92616811094764,0.32507395906322,0.592220404770609
ENSG00000004838,ZMYND10,protein_coding,-0.0133860984534635,0.230876574350349,0.849786030688539,0.945784937098999
ENSG00000004848,ARX,protein_coding,-0.349845374061028,1.41838888151758,0.252758516503932,0.51596357560128
ENSG00000004864,SLC25A13,protein_coding,0.284203301217384,4.15552084990013,0.000141277360045247,0.00290072693892901
ENSG00000004866,ST7,protein_coding,-0.0758601346147447,3.04643442910631,0.670565989808267,0.851137152356725
ENSG00000004897,CDC27,protein_coding,-0.090744248713842,7.47172797164979,0.116042996758708,0.330133205570988
ENSG00000004961,HCCS,protein_coding,-0.408127692819143,4.87518068710451,0.000187044584257326,0.0035595513617979
ENSG00000004975,DVL2,protein_coding,0.00481132505743372,5.20523062948542,0.891557122660437,0.963693011689932
ENSG00000005007,UPF1,protein_coding,-0.0590882117703314,6.57369383834659,0.39558775980439,0.657148505243557
ENSG00000005020,SKAP2,protein_coding,0.525891158133951,5.07448172542051,4.90779243406831e-11,1.09928176766722e-08
ENSG00000005022,SLC25A5,protein_coding,-0.33090190955429,7.01376222791813,3.87802250623508e-07,2.44103117390644e-05
ENSG00000005059,CCDC109B,protein_coding,-0.0494725123891244,4.01156774347325,0.66104510683147,0.845551995504416
ENSG00000005073,HOXA11,protein_coding,-0.760457873028828,2.94855772502919,0.00031204372579504,0.00518517238995677
ENSG00000005075,POLR2J,protein_coding,0.00188066487531116,3.73863427633972,0.980561247811483,0.998782749619703
ENSG00000005100,DHX33,protein_coding,0.0646820016555757,5.1273981668448,0.445809071807552,0.698426733310194
ENSG00000005156,LIG3,protein_coding,-0.0321591581097604,5.43402460141093,0.706738380601557,0.872965749776349
ENSG00000005175,RPAP3,protein_coding,-0.110973527815285,4.59856455582187,0.182514651061501,0.428859698481977
ENSG00000005189,AC004381.6,protein_coding,-0.12817856775635,0.980002703633074,0.577223280710333,0.792498799746148
ENSG00000005194,CIAPIN1,protein_coding,-0.0819405425162421,5.80178884460461,0.241211613664491,0.502740386812262
ENSG00000005206,SPPL2B,protein_coding,0.148900379722213,5.8666336486745,0.175700312817784,0.419535275532096
ENSG00000005238,FAM214B,protein_coding,0.198537435635249,5.19958647218217,0.0269934348614639,0.132116698059976
ENSG00000005243,COPZ2,protein_coding,-0.0518409168443303,3.02663574665216,0.709836367872788,0.874704357591444
ENSG00000005302,MSL3,protein_coding,-0.163268990816634,4.52305369941705,0.0414071665694046,0.174182780932322
ENSG00000005339,CREBBP,protein_coding,0.0202843443235611,6.26604123065665,0.845535742315134,0.943237754300692
ENSG00000005436,GCFC2,protein_coding,0.0273216998649731,4.82702789301875,0.781400861125024,0.913700547468247
ENSG00000005448,WDR54,protein_coding,0.0523263652697236,2.423983756465,0.693341619877517,0.865648104678408
ENSG00000005469,CROT,protein_coding,0.0109837226693587,4.02308824496282,0.969417503128626,0.994156381775008
ENSG00000005483,KMT2E,protein_coding,-0.00255461642451559,6.21679226157412,0.981786916044312,0.99891613615831
ENSG00000005486,RHBDD2,protein_coding,-0.0451854381843258,4.91148778823933,0.619177425815862,0.820012047601658
ENSG00000005513,SOX8,protein_coding,0.00492432247837768,8.41924455325699,0.971069539068249,0.994598036718932
