V1 V2 TypeOfInteraction
RPS7 EIF4G1 2_Pathways_Sample.gr
RPS7 RPL10 2_Pathways_Sample.gr
RPS7 RPL19 2_Pathways_Sample.gr
RPS7 NCBP2 2_Pathways_Sample.gr
EIF4G1 RPL10 2_Pathways_Sample.gr
EIF4G1 RPL19 2_Pathways_Sample.gr
EIF4G1 NCBP2 2_Pathways_Sample.gr
RPL10 RPL19 2_Pathways_Sample.gr
RPL10 NCBP2 2_Pathways_Sample.gr
RPL10 PELP1 2_Pathways_Sample.gr
RPL10 ISG20L2 2_Pathways_Sample.gr
RPL19 NCBP2 2_Pathways_Sample.gr
RPL19 PELP1 2_Pathways_Sample.gr
RPL19 ISG20L2 2_Pathways_Sample.gr
NCBP2 PRPF3 2_Pathways_Sample.gr
NCBP2 SNRNP200 2_Pathways_Sample.gr
HIST1H2AC CDK1 2_Pathways_Sample.gr
HIST1H2AC CCNB1 2_Pathways_Sample.gr
HIST1H2AC GATAD2A 2_Pathways_Sample.gr
HIST1H2AC MBD3 2_Pathways_Sample.gr
HIST1H2AC FZR1 2_Pathways_Sample.gr
HIST1H2AC CENPO 2_Pathways_Sample.gr
HIST1H2AC ACD 2_Pathways_Sample.gr
HIST1H2AC SUN2 2_Pathways_Sample.gr
HIST1H2AC HIST3H2A 2_Pathways_Sample.gr
CDK1 CCNB1 2_Pathways_Sample.gr
CDK1 NEK2 2_Pathways_Sample.gr
CDK1 CCNB2 2_Pathways_Sample.gr
CDK1 FZR1 2_Pathways_Sample.gr
CDK1 CENPO 2_Pathways_Sample.gr
CCNB1 CCNB2 2_Pathways_Sample.gr
CCNB1 FZR1 2_Pathways_Sample.gr
CCNB1 CENPO 2_Pathways_Sample.gr
MCM7 FZR1 2_Pathways_Sample.gr
CCNB2 FZR1 2_Pathways_Sample.gr
CCNB2 CENPO 2_Pathways_Sample.gr
GATAD2A MBD3 2_Pathways_Sample.gr
GATAD2A HIST3H2A 2_Pathways_Sample.gr
MBD3 HIST3H2A 2_Pathways_Sample.gr
ACD SUN2 2_Pathways_Sample.gr
FANCM UBE2T 2_Pathways_Sample.gr
PELP1 ISG20L2 2_Pathways_Sample.gr
PRPF3 SNRNP200 2_Pathways_Sample.gr
