V1 V2 TypeOfInteraction
RPS7 EIF4G1 2_Pathways_Sample.gr
RPS7 RPL10 2_Pathways_Sample.gr
RPS7 RPL19 2_Pathways_Sample.gr
RPS7 NCBP2 2_Pathways_Sample.gr
EIF4G1 RPL10 2_Pathways_Sample.gr
EIF4G1 RPL19 2_Pathways_Sample.gr
EIF4G1 NCBP2 2_Pathways_Sample.gr
RPL10 RPL19 2_Pathways_Sample.gr
RPL10 NCBP2 2_Pathways_Sample.gr
RPL10 PELP1 2_Pathways_Sample.gr
RPL10 ISG20L2 2_Pathways_Sample.gr
RPL19 NCBP2 2_Pathways_Sample.gr
RPL19 PELP1 2_Pathways_Sample.gr
RPL19 ISG20L2 2_Pathways_Sample.gr
NCBP2 PRPF3 2_Pathways_Sample.gr
NCBP2 SNRNP200 2_Pathways_Sample.gr
HIST1H2AC CDK1 2_Pathways_Sample.gr
HIST1H2AC CCNB1 2_Pathways_Sample.gr
HIST1H2AC GATAD2A 2_Pathways_Sample.gr
HIST1H2AC MBD3 2_Pathways_Sample.gr
HIST1H2AC FZR1 2_Pathways_Sample.gr
HIST1H2AC CENPO 2_Pathways_Sample.gr
HIST1H2AC ACD 2_Pathways_Sample.gr
HIST1H2AC SUN2 2_Pathways_Sample.gr
HIST1H2AC HIST3H2A 2_Pathways_Sample.gr
CDK1 CCNB1 2_Pathways_Sample.gr
CDK1 NEK2 2_Pathways_Sample.gr
CDK1 CCNB2 2_Pathways_Sample.gr
CDK1 FZR1 2_Pathways_Sample.gr
CDK1 CENPO 2_Pathways_Sample.gr
CCNB1 CCNB2 2_Pathways_Sample.gr
CCNB1 FZR1 2_Pathways_Sample.gr
CCNB1 CENPO 2_Pathways_Sample.gr
MCM7 FZR1 2_Pathways_Sample.gr
CCNB2 FZR1 2_Pathways_Sample.gr
CCNB2 CENPO 2_Pathways_Sample.gr
GATAD2A MBD3 2_Pathways_Sample.gr
GATAD2A HIST3H2A 2_Pathways_Sample.gr
MBD3 HIST3H2A 2_Pathways_Sample.gr
ACD SUN2 2_Pathways_Sample.gr
FANCM UBE2T 2_Pathways_Sample.gr
PELP1 ISG20L2 2_Pathways_Sample.gr
PRPF3 SNRNP200 2_Pathways_Sample.gr
C8orf4 CDK1 3_Coexpression_Sample.gr
C8orf4 CENPO 3_Coexpression_Sample.gr
C8orf4 MCM7 3_Coexpression_Sample.gr
C8orf4 PLSCR4 3_Coexpression_Sample.gr
C8orf4 UBE2T 3_Coexpression_Sample.gr
C8orf4 CCNB2 3_Coexpression_Sample.gr
C8orf4 SYNCRIP 3_Coexpression_Sample.gr
CCNB1 CDK1 3_Coexpression_Sample.gr
CCNB1 CENPO 3_Coexpression_Sample.gr
CCNB1 EIF1AD 3_Coexpression_Sample.gr
CCNB1 EIF4G1 3_Coexpression_Sample.gr
CCNB1 FTSJ1 3_Coexpression_Sample.gr
CCNB1 GATAD2A 3_Coexpression_Sample.gr
CCNB1 MCM7 3_Coexpression_Sample.gr
CCNB1 UBE2T 3_Coexpression_Sample.gr
CCNB1 CCNB2 3_Coexpression_Sample.gr
CCNB1 FANCM 3_Coexpression_Sample.gr
CCNB1 ISG20L2 3_Coexpression_Sample.gr
CCNB1 MRE11A 3_Coexpression_Sample.gr
CCNB1 NEK2 3_Coexpression_Sample.gr
CCNB1 PELP1 3_Coexpression_Sample.gr
CCNB1 PRPF3 3_Coexpression_Sample.gr
CCNB1 RRP1B 3_Coexpression_Sample.gr
CCNB1 SNRNP200 3_Coexpression_Sample.gr
CCNB1 SYNCRIP 3_Coexpression_Sample.gr
CCNB1 MBD3 3_Coexpression_Sample.gr
CCNB1 ACD 3_Coexpression_Sample.gr
CDK1 CENPO 3_Coexpression_Sample.gr
CDK1 EIF1AD 3_Coexpression_Sample.gr
CDK1 EIF4G1 3_Coexpression_Sample.gr
CDK1 FTSJ1 3_Coexpression_Sample.gr
CDK1 GATAD2A 3_Coexpression_Sample.gr
CDK1 MCM7 3_Coexpression_Sample.gr
CDK1 PLSCR4 3_Coexpression_Sample.gr
CDK1 UBE2T 3_Coexpression_Sample.gr
CDK1 CCNB2 3_Coexpression_Sample.gr
CDK1 ECE2 3_Coexpression_Sample.gr
CDK1 FANCM 3_Coexpression_Sample.gr
CDK1 ISG20L2 3_Coexpression_Sample.gr
CDK1 MRE11A 3_Coexpression_Sample.gr
CDK1 NEK2 3_Coexpression_Sample.gr
CDK1 PELP1 3_Coexpression_Sample.gr
CDK1 PRPF3 3_Coexpression_Sample.gr
CDK1 RRP1B 3_Coexpression_Sample.gr
CDK1 SNRNP200 3_Coexpression_Sample.gr
CDK1 SYNCRIP 3_Coexpression_Sample.gr
CDK1 MBD3 3_Coexpression_Sample.gr
CENPO EIF1AD 3_Coexpression_Sample.gr
CENPO EIF4G1 3_Coexpression_Sample.gr
CENPO FTSJ1 3_Coexpression_Sample.gr
CENPO GATAD2A 3_Coexpression_Sample.gr
CENPO MCM7 3_Coexpression_Sample.gr
CENPO UBE2T 3_Coexpression_Sample.gr
CENPO CCNB2 3_Coexpression_Sample.gr
CENPO FANCM 3_Coexpression_Sample.gr
CENPO ISG20L2 3_Coexpression_Sample.gr
CENPO MRE11A 3_Coexpression_Sample.gr
CENPO NEK2 3_Coexpression_Sample.gr
CENPO PELP1 3_Coexpression_Sample.gr
CENPO PRPF3 3_Coexpression_Sample.gr
CENPO RRP1B 3_Coexpression_Sample.gr
CENPO SNRNP200 3_Coexpression_Sample.gr
CENPO SYNCRIP 3_Coexpression_Sample.gr
CENPO MBD3 3_Coexpression_Sample.gr
CENPO ACD 3_Coexpression_Sample.gr
EIF1AD FTSJ1 3_Coexpression_Sample.gr
EIF1AD MCM7 3_Coexpression_Sample.gr
EIF1AD UBE2T 3_Coexpression_Sample.gr
EIF1AD CCNB2 3_Coexpression_Sample.gr
EIF1AD FANCM 3_Coexpression_Sample.gr
EIF1AD MRE11A 3_Coexpression_Sample.gr
EIF1AD NEK2 3_Coexpression_Sample.gr
EIF1AD PRPF3 3_Coexpression_Sample.gr
EIF1AD RRP1B 3_Coexpression_Sample.gr
EIF1AD SNRNP200 3_Coexpression_Sample.gr
EIF1AD SYNCRIP 3_Coexpression_Sample.gr
EIF1AD SND1 3_Coexpression_Sample.gr
EIF1AD ACD 3_Coexpression_Sample.gr
EIF4G1 FTSJ1 3_Coexpression_Sample.gr
EIF4G1 GATAD2A 3_Coexpression_Sample.gr
EIF4G1 MCM7 3_Coexpression_Sample.gr
EIF4G1 UBE2T 3_Coexpression_Sample.gr
EIF4G1 CCNB2 3_Coexpression_Sample.gr
EIF4G1 ECE2 3_Coexpression_Sample.gr
EIF4G1 ISG20L2 3_Coexpression_Sample.gr
EIF4G1 NEK2 3_Coexpression_Sample.gr
EIF4G1 PELP1 3_Coexpression_Sample.gr
EIF4G1 RRP1B 3_Coexpression_Sample.gr
EIF4G1 SNRNP200 3_Coexpression_Sample.gr
EIF4G1 SYNCRIP 3_Coexpression_Sample.gr
EIF4G1 NCBP2 3_Coexpression_Sample.gr
EIF4G1 MBD3 3_Coexpression_Sample.gr
FTSJ1 GATAD2A 3_Coexpression_Sample.gr
FTSJ1 MCM7 3_Coexpression_Sample.gr
FTSJ1 UBE2T 3_Coexpression_Sample.gr
FTSJ1 CCNB2 3_Coexpression_Sample.gr
FTSJ1 FANCM 3_Coexpression_Sample.gr
FTSJ1 NEK2 3_Coexpression_Sample.gr
FTSJ1 PELP1 3_Coexpression_Sample.gr
FTSJ1 RRP1B 3_Coexpression_Sample.gr
FTSJ1 SNRNP200 3_Coexpression_Sample.gr
FTSJ1 SND1 3_Coexpression_Sample.gr
FTSJ1 MBD3 3_Coexpression_Sample.gr
FTSJ1 ACD 3_Coexpression_Sample.gr
GATAD2A MCM7 3_Coexpression_Sample.gr
GATAD2A UBE2T 3_Coexpression_Sample.gr
GATAD2A CCNB2 3_Coexpression_Sample.gr
GATAD2A FANCM 3_Coexpression_Sample.gr
GATAD2A ISG20L2 3_Coexpression_Sample.gr
GATAD2A NEK2 3_Coexpression_Sample.gr
GATAD2A PELP1 3_Coexpression_Sample.gr
GATAD2A RRP1B 3_Coexpression_Sample.gr
GATAD2A SNRNP200 3_Coexpression_Sample.gr
GATAD2A SYNCRIP 3_Coexpression_Sample.gr
GATAD2A MBD3 3_Coexpression_Sample.gr
GATAD2A ACD 3_Coexpression_Sample.gr
MCM7 PLSCR4 3_Coexpression_Sample.gr
MCM7 UBE2T 3_Coexpression_Sample.gr
MCM7 CCNB2 3_Coexpression_Sample.gr
MCM7 FANCM 3_Coexpression_Sample.gr
MCM7 ISG20L2 3_Coexpression_Sample.gr
MCM7 MRE11A 3_Coexpression_Sample.gr
MCM7 NEK2 3_Coexpression_Sample.gr
MCM7 PELP1 3_Coexpression_Sample.gr
MCM7 PRPF3 3_Coexpression_Sample.gr
MCM7 RRP1B 3_Coexpression_Sample.gr
MCM7 SNRNP200 3_Coexpression_Sample.gr
