"Nodes_Names","Ind1","Ind2","Ind3","Ind4","Any"
"ACD","Ind1","","","","YES"
"C8orf4","Ind1","Ind2","Ind3","","YES"
"EIF4G1","Ind1","Ind2","","","YES"
"GATAD2A","Ind1","Ind2","Ind3","","YES"
"HIST1H2AC","Ind1","","Ind3","","YES"
"HIST3H2A","Ind1","Ind2","Ind3","","YES"
"ISG20L2","Ind1","","","","YES"
"MCM7","Ind1","Ind2","Ind3","","YES"
"MRE11A","Ind1","","","","YES"
"NCBP2","Ind1","","","","YES"
"PELP1","Ind1","Ind2","","","YES"
"PRPF3","Ind1","","","","YES"
"RPL10","Ind1","","","","YES"
"RPL19","Ind1","","","","YES"
"RPS7","Ind1","","","","YES"
"SUN2","Ind1","","","","YES"
"CDK1","","Ind2","Ind3","","YES"
"MBD3","","Ind2","Ind3","","YES"
"SNRNP200","","Ind2","Ind3","","YES"
"SYNCRIP","","Ind2","","","YES"
"UBE2T","","Ind2","","Ind4","YES"
"CCNB1","","","Ind3","","YES"
"CCNB2","","","Ind3","","YES"
"CENPO","","","Ind3","","YES"
"FZR1","","","Ind3","","YES"
"NEK2","","","Ind3","","YES"
"ECE2","","","","Ind4","YES"
"EIF1AD","","","","Ind4","YES"
"FANCM","","","","Ind4","YES"
"FTSJ1","","","","Ind4","YES"
"PLSCR4","","","","Ind4","YES"
"RRP1B","","","","Ind4","YES"
"SFRP1","","","","Ind4","YES"
"SND1","","","","Ind4","YES"
"SSPN","","","","Ind4","YES"
